exp,exp_cost,exp_carbon,exp_renewable_util,cvar90_carbon,cvar90_cost,sla_violation_rate,std_cost,std_carbon,runtime_sec
baseline,4.320064325866591,17.252133441486897,0.22151356468482614,20.37176598829064,5.166163774769057,0.0,0.4177863096879867,1.664480320338044,0.0001446249999998983
DRO,5.103786052246543,14.700983588779632,0.21406150862503742,17.43866045920998,6.1209548393809765,0.0,0.485173793517701,1.4496599001567403,0.06549462500000014
